date,platform_spend,Revenue,pubmatic_revenue,eCPM,GeCPM,fill_rate,Total_Requests,Paid_Impressions,take_rate,,,
27/01/22,4009332.859,3800288.182,714906.2991,1.631014675,0.010663899,0.0065382,3.56369E+11,2330014708,0.178310538,,619065.0912,19191017.83
26/01/22,3831084.535,3626406.924,689924.54,1.622610313,0.01005718,0.006198148,3.60579E+11,2234921653,0.180085961,,,
25/01/22,3786928.726,3583721.16,681870.5878,1.614569585,0.009841043,0.00609515,3.64161E+11,2219613941,0.180058997,,,
24/01/22,3704768.197,3508360.665,665478.0212,1.596428159,0.009495407,0.005947907,3.6948E+11,2197631409,0.179627438,,,
23/01/22,3531100.005,3375159.432,623297.5338,1.660873374,0.009587286,0.005772436,3.52045E+11,2032159396,0.176516534,,,
22/01/22,3465716.887,3309602.872,623026.5578,1.627431612,0.009325801,0.00573038,3.54887E+11,2033635605,0.179768451,,,
21/01/22,3741575.631,3545209.191,677804.521,1.656188509,0.009851053,0.005948026,3.59881E+11,2140583135,0.181154836,,,Zach
20/01/22,3708982.028,3505533.809,672858.3672,1.628591492,0.009874474,0.006063199,3.5501E+11,2152494242,0.181413219,,,Deal Desk
19/01/22,3482566.796,3285934.639,633800.3148,1.622483869,0.009407096,0.00579796,3.49304E+11,2025249497,0.181992292,,,CS/GTM compliance for email change for report
18/01/22,3503967.838,3318285.362,632307.4539,1.582097711,0.00951228,0.006012448,3.48842E+11,2097395970,0.180454697,,,
17/01/22,3407506.264,3230360.349,619065.0912,1.537267273,0.009222588,0.005999339,3.50266E+11,2101365459,0.181676875,,,
16/01/22,3376653.64,3229540.049,606018.3169,1.582178016,0.009317488,0.005889026,3.46611E+11,2041198915,0.179473047,,,
15/01/22,3294914.71,3146946.568,596781.0881,1.55161621,0.009358581,0.006031505,3.36263E+11,2028173300,0.181121862,,,Braavos weekly -9:30PM PST?
14/01/22,3474816.253,3293138.865,631249.2866,1.575335213,0.009609231,0.006099801,3.42706E+11,2090436904,0.181664077,,,
13/01/22,3457306.217,3270079.555,631556.9437,1.547530269,0.009365067,0.006051621,3.49178E+11,2113095699,0.182673129,,,
12/01/22,3359607.823,3178325.73,613537.5035,1.545988344,0.009129911,0.00590555,3.48122E+11,2055853618,0.182621763,,,
11/01/22,3400359.804,3219166.688,619285.9271,1.552292433,0.009305378,0.005994604,3.45947E+11,2073814586,0.182123647,,,
10/01/22,3346619.06,3163373.308,611024.9442,1.539330176,0.009053032,0.00588115,3.49427E+11,2055032349,0.182579772,,,
09/01/22,3140592.148,3003113.723,564510.3274,1.536199875,0.008739845,0.005689263,3.43612E+11,1954897779,0.179746462,,,
08/01/22,2954089.243,2817792.229,535247.7826,1.49785562,0.008403026,0.005610037,3.35331E+11,1881217516,0.181188765,,,
07/01/22,3106859.844,2942025.215,569669.6938,1.495670276,0.008501543,0.005684102,3.46058E+11,1967027936,0.183358672,,,
06/01/22,3086339.566,2912641.251,572723.5003,1.458995785,0.008306368,0.005693209,3.50652E+11,1996332876,0.185567235,,,
05/01/22,3059351.325,2868680.254,581922.1644,1.436987712,0.008137491,0.005662881,3.52526E+11,1996315090,0.190210964,,,
04/01/22,3018959.667,2838511.895,568286.6809,1.45430133,0.008075966,0.005553159,3.51476E+11,1951804510,0.188239243,,,
03/01/22,2751195.997,2594836.764,516434.8523,1.435139879,0.007387641,0.00514768,3.5124E+11,1808072371,0.187712854,,,
02/01/22,2511075.37,2379617.452,475427.1005,1.434100585,0.00692257,0.004827116,3.43748E+11,1659310007,0.189332071,,,
01/01/22,2607886.317,2488730.314,481193.7415,1.52920886,0.007384756,0.004829135,3.37009E+11,1627462657,0.184514846,,,
